title,authors,description,published_date
Kick COVID-19 to the Curb,"Dr. Angeli Maun Akey,Dr. Kathleen O'Neil-Smith","Dr. Angeli Maun Akey and Dr. Kathleen O’Neil-Smith have used their experience to bring a living resource to life. This concise primer provides the 3-essential ingredients for coping with our current health challenge—information, analysis, and practical steps forward. Starting with a summary of COVID-19, they outline practical information about the virus and how our bodies respond to infection. Dr. Akey and Dr. O’Neil-Smith synthesize the latest breaking medical science into a fun, easy to read format, using vivid analogies. Adding a cherry on top, they combine their work with online resources so that it remains up to date with the latest medical research!",2020-05-31
COVID-19 prevention measures in Ethiopia: Current realities and prospects,"Baye, Kaleab","Immediately after the first confirmed case of COVID-19 in Ethiopia in March 2020, the Government of Ethiopia took several public health measures to prevent increased levels of infection These included closing all schools and restricting large gatherings and movements of people. Hand-washing and social distancing were the main prevention measures that government has communicated to the general public through various media platforms. Using the latest round of the Ethiopian Demographic and Health Survey, COVID-19 relevant indicators related to household access to communication platforms; access to water, sanitation, and hygiene (WASH); and characteristics of the home environment were assessed. The analysis shows that a sizeable proportion of the rural population does not have access to the media platforms used to publicize COVID-19 prevention measures. Moreover, without aggressive interventions, current levels of access to water and soap are suboptimal to adopt the hand-washing recommendations, particularly in rural areas. The low proportion of households with electricity, refrigeration, or internet connection and the relatively high prevalence of partner violence suggest that implementing the stay and work from home measures will be challenging. Public health measures that slow down the transmission of the virus should be continued and efforts to prevent transmission to rural areas should be prioritized. Communication platforms and messaging will need to be adapted to different local realities to make any COVID-19 containment recommendations operational. WASH-related support should be ramped-up, and addressing barriers to staying at home, such as the risk of partner violence, should be considered. The efforts needed to end the current pandemic in Ethiopia, as well as similar pandemics in the future, illuminates the serious challenges related to WASH and to the inequalities between rural and urban areas that need urgent attention.",2020-05-12
Covid 19 - The New Age Pandemic,Dr M.Balasubramanian,"This new age pandemic has shown us that all of us have to bow towards Mother Nature. Like our Honorable PM said, “This virus sees no race, religion, caste, creed or sex.” It has affected the world globally irrespective of whether we are rich or poor. Global warming, rapid industrialization, deforestation, loss of natural habitat, increased stress of new age living have all contributed to what we are facing now. This book attempts to delve into some of the contributory factors that lead to the issues the world is facing right now and some of the latest methods of treatment and the need for global solidarity.",2020-05-19
The Day My Kids Stayed Home,Adam M Wallace,"The COVID-19 pandemic of 2020 has created massive disruption in kids' lives around the world. As adults it's our responsibility to learn about this virus and to keep our communities safe. This book is meant to help parents and teachers discuss COVID-19 with children and teach them about the virus and how we can stay healthy. Things are scarier when we don't understand them. The first half of the book is a kid's book that tells the story of two puppies learning about COVID-19; the second half is meant for adults and is a short explanation of what is happening and what we can do about it. After reading the back half you will be ready to discuss COVID-19 with your kids. Remember, together we can beat this.",2020-03-23
Economics in the Age of COVID-19,Joshua Gans,"A guide to the pandemic economy: essential reading about the long-term implications of our current crisis. The COVID-19 pandemic has unleashed a firehose of information (much of it wrong) and an avalanche of opinions (many of them ill-founded). Most of us are so distracted by the everyday awfulness that we don't see the broader issues in play. In this book, economist Joshua Gans steps back from the short-term chaos to take a clear and systematic look at how economic choices are being made in response to COVID-19. He shows that containing the virus and pausing the economy—without letting businesses fail and people lose their jobs—are the necessary first steps. Gans outlines the phases of the pandemic economy, from containment to reset to recovery and enhancement. Warning against thinking in terms of a “tradeoff” between public health and economic health, Gans explains that containment gives us the opportunity to develop effective testing that will make it safe for people to interact. Once the virus is contained, we will need to pivot toward innovating, and, finally, we will come together to plan how to protect ourselves from future pandemics. He looks at policy tools that might aid an economic recovery, distinguishing between economic losses during a pandemic and a recession. Gans lays out the economic choices accessibly but with urgency, leaving politics out of it. Economics in the Age of COVID-19 is essential reading for anyone interested in the long-term implications of our current crisis.",2020-04-24
Bd. Novellen II: Die Hochzeit des Mönchs. Das Leiden eines Knaben. Die Richterin,Conrad Ferdinand Meyer,NA,1958
7 Keys to Staying Sane During the COVID-19 Crisis,Meg Meeker,"Meg Meeker, M.D., America’s family doctor, shares the seven keys to staying sane in the suddenly locked-down world of the coronavirus. Her new mini-ebook is your family’s essential guide not just to surviving but to thriving, even as your world is turned upside down. Dr. Meeker prescribes practical steps that every family can take to handle the stress of close quarters, separation from friends, and unprecedented financial strain. Your family can even grow stronger as a result. Addressing the needs of the whole person, the physical need for a regular schedule and exercise, the emotional need for connection with others, the spiritual need for quiet prayer or meditation, Dr. Meeker sounds an encouraging call not to give in to the fear and chaos all around us.",2020-04-23
COVID-19 ANTHROPOCIDE: Manslaughter or Murder?,Michael  Nikoletseas,Read the book that was blocked in amazon books! In this book a US professor of medicine relates the drama of his desperate struggle to inform the authorities of a fatal omission in the current prevention guidelines against COVID-19. The scientific evidence for his alert is also included. Read how you can protect your self.,NA
Corona Virus and COVID-19,Jagdish Krishanlal Arora,I have prepared this book in very short time and sent hundreds of copies to all countries. This book gives you home based medicine urgent solutions and also medicines recommended by Doctors. The content is both for Doctors and for patients infected with the virus. Home based medicines commonly available in every home can be used until you can manage Doctor recommended medicines. This book will also help,2020-04-17
"The impact of COVID-19 on Tunisia’s economy, agri-food system, and households","ElKadhi, Zouhair,Elsabbagh, Dalia,Frija, Aymen,Lakoud, Thouraya,Wiebelt, Manfred,Breisinger, Clemens","The COVID-19 crisis is expected to lead to a 46.4 percent decline in Tunisia’s GDP during the 2nd quarter of 2020 (April to June). The industrial sector will be hit hardest, with output falling by 52.7 percent, followed closely by services (-49.0 percent) and agriculture (-16.2 percent). These high losses are a result of the complete lockdown imposed in the country to contain the pandemic. Higher-income urban households will see the largest income losses, although lower-income urban households also will experience significant reductions in their income. As a policy response, social transfers towards poorer households will reduce the adverse welfare impact of these drops in household income. Government policies to support struggling businesses will allow economic activities to revive more rapidly when the lockdown loosens. Consequently, comprehensive planning by the Government of Tunisia to re-open the economy will be critical to reduce the pandemic’s adverse impact on the country’s economy in the longer-term, reducing losses of employment and income, especially in manufacturing and retail.",2020-05-21
Documentation for the COVID-19 food trade policy tracker: Tracking government responses affecting global food markets during the COVID-19 crisis,"Laborde Debucquet, David,Mamun, Abdullah,Parent, Marie","In response to the COVID-19 crisis, some governments have implemented export restrictions and other trade policy measures to secure their food supply. This behavior can increase global food prices, with consequences including the exacerbation of hunger and income losses for producers in export-restrict-ing countries. Intergovernmental organizations and other actors need current information on food trade policy to curb detrimental reactive policy and enable cooperation. To address this need, we provide the COVID-19 Food Trade Policy Tracker. Gathering data from sources including the media, national gov-ernments, expert input, the OECD, and the IMF, we provide up-to-date information on food trade poli-cies implemented during the COVID-19 crisis and the likely magnitude of their effects.",2020-05-01
REAL ESTATE & COVID-19,Alexandre ALLARD-LATOUR,The Confinemential Notes by real estate agent Alexandre ALLARD-LATOUR during the covid-19 pandemic crisis in the real estate sector.,2020-05-01
COVID-19 for Kids,"Catherine Cheung,Elvin Too","""Grandpa has a very strong will, but his body's weak and often ill..."" So begins our story, but the coronavirus has come to town and is spreading fast! What happens when Grandpa's family and friends meet COVID-19 at his grandson's birthday party? How will they all keep him safe? See how Grandpa's family and friends use social distancing and great hygiene to stay healthy and prevent further spread of the coronavirus, especially to the most vulnerable people in our society. Using simple rhymes and fun illustrations, help kids understand the facts and what they can do to help fight COVID-19. Answer the most important questions children have: What is COVID-19 and why is it such a big deal? How can I catch the coronavirus? What happens if I get it? What can I do to reduce my risk of getting infected? What is my role in reducing its spread? BONUS: Discussion Guide & ""In My Own Words"" activity! A portion of profits will be donated to fight COVID-19 globally.",2020-04-02
Assessing the impacts of COVID-19 on Myanmar’s economy: A Social Accounting Matrix (SAM) multiplier approach,"Diao, Xinshen,Aung, Nilar,Lwin, Wuit Yi,Zone, Phoo Pye,Nyunt, Khin Maung,Thurlow, James","The measures taken by the Government of Myanmar to contain the transmission of COVID-19 are a necessary and appropriate response. In-depth analysis of measures of this magnitude on firms, households, government, and the economy as a whole is key to the design of policy interventions that can mitigate the economic losses and support a sustained and robust recovery. The economic losses to Myanmar’s economy in 2020 due to the COVID-19 pandemic will be huge – a drop in production on the order of between 6.4 and 9.0 trillion Kyat – and likely will push the economy into a recession or lead to stagnant growth, at best, for the year. Although lockdown policies provide exemptions for most agricultural activities, linkages to other sectors indirectly affect the agri-food sector significantly. The agricultural sector is expected to contract by between 1.1 and 2.4 percent in 2020, and recovery will be slow. Closure of factories will have a large negative economic impact due to the strong linkage effects between manufacturing and upstream primary agriculture and downstream marketing services. Reopening the manufacturing sector is crucial for economic recovery in Myanmar.",2020-05-29
Critical Thinking,Jonathan Haber,"How the concept of critical thinking emerged, how it has been defined, and how critical thinking skills can be taught. Critical thinking is regularly cited as an essential twenty-first century skill, the key to success in school and work. Given our propensity to believe fake news, draw incorrect conclusions, and make decisions based on emotion rather than reason, it might even be said that critical thinking is vital to the survival of a democratic society. But what, exactly, is critical thinking? In this volume in the MIT Press Essential Knowledge series, Jonathan Haber explains how the concept of critical thinking emerged, how it has been defined, and how critical thinking skills can be taught and assessed. Haber describes the term's origins in such disciplines as philosophy, psychology, and science. He examines the components of critical thinking, including structured thinking, language skills, background knowledge, and information literacy, along with such necessary intellectual traits as intellectual humility, empathy, and open-mindedness. He discusses how research has defined critical thinking, how elements of critical thinking have been taught for centuries, and how educators can teach critical thinking skills now. Haber argues that the most important critical thinking issue today is that not enough people are doing enough of it. Fortunately, critical thinking can be taught, practiced, and evaluated. This book offers a guide for teachers, students, and aspiring critical thinkers everywhere, including advice for educational leaders and policy makers on how to make the teaching and learning of critical thinking an educational priority and practical reality.",2020
Pale Rider,Laura Spinney,"In 1918, the Italian-Americans of New York, the Yupik of Alaska and the Persians of Mashed had almost nothing in common except for a virus--one that triggered the worst pandemic of modern times and had a decisive effect on the history of the twentieth century. The Spanish flu of 1918-1920 was one of the greatest human disasters of all time. It infected a third of the people on Earth--from the poorest immigrants of New York City to the king of Spain, Franz Kafka, Mahatma Gandhi and Woodrow Wilson. But despite a death toll of between 50 and 100 million people, it exists in our memory as an afterthought to World War I. In this gripping narrative history, Laura Spinney traces the overlooked pandemic to reveal how the virus travelled across the globe, exposing mankind's vulnerability and putting our ingenuity to the test. As socially significant as both world wars, the Spanish flu dramatically disrupted--and often permanently altered--global politics, race relations and family structures, while spurring innovation in medicine, religion and the arts. It was partly responsible, Spinney argues, for pushing India to independence, South Africa to apartheid and Switzerland to the brink of civil war. It also created the true ""lost generation."" Drawing on the latest research in history, virology, epidemiology, psychology and economics, Pale Rider masterfully recounts the little-known catastrophe that forever changed humanity.",2017-09-12
COVID-19,RT Quanon,COVID-19 : Teaching Children made Easy - is an illustrated book designed to teach children the basic life-saving habits necessary for disease survival. It uses kids friendly pictures to encourage learning facts and not fear.,NA
COVID-19 The Battle for Humanity,Loralyn Mears PhD,"This is a Sci-Fi thriller that you won't be able to put down! 2020 started off full of promise with a new year and a new decade. And then the world changed. The economy collapsed, healthcare systems were overrun and governments were exposed as woefully ill-prepared. It was the perfect storm. Seemingly overnight, daily life stopped. The COVID-19 global pandemic, caused by the novel coronavirus, SARS-CoV-2, created a ripple effect that was felt around the globe. But science would save the day. Peg Araro, PhD, an epidemiologist at Virubio, takes readers on an intense and thrilling ride in her quest to find a cure. Steeped in science and anchored by actual events, this SciFi thriller demonstrates the power of “we.” Join Peg and her collaborators on a journey fraught with peril, suspense and intrigue. The more this book sells, the more donations that will go to our local foodbank.",2020-03-28
Covid-19,"Mba Martins,Emecheta Callista Chinenye","You Are About To Learn Everything You Need To Know About The New Deadly Coronavirus, Causes, Symptoms, Consequences And Prevention! With the novel coronavirus disease (COVID-19) spread getting closer to meeting the threshold for a global pandemic, having already claimed close to 3,000 live in different countries and with over 80,000 people already infected, everyone is concerned and somewhat wary of the coronavirus. Will it become the next H1N1 flu pandemic that killed hundreds of thousands in 2009 or will it dwarf it to get to the leagues of the likes of the great Influenza pandemic, the Spanish Flu, the cholera pandemic, smallpox, Asian Flu, the Bubonic Plague or even the Black Death? Why and how has it spread so fast? Where did it come from? What is known about its treatment so far? How can you protect yourself and your loved ones from its spread? What signs and symptoms do people show when they have the novel coronavirus? Which countries have had cases of the coronavirus? Which information out there is fact and which one is myth about the coronavirus? If you have these and other related questions about the coronavirus, this book is for you so keep reading, as it answers all that and much more. Here is what to expect inside this book: The basics of the coronavirus, including what it is, how the virus manifests, what it does to the body before becoming deadly, and more Where the Wuhan Coronavirus originated from and its detailed history Those who are more at risk of contracting this deadly virus The various symptoms of the Wuhan coronavirus to look out for How the virus is being spread from one person to another The myths and misconceptions about the coronavirus How you can keep you and your loved ones safe from this deadly virus The statistics of how the virus has spread and the deaths it has caused How countries are reacting to this deadly disease What China is doing to contain the spread of this virus and help those already infected The latest facts about the cases of this disease all over the world How the virus is affecting the world economy And much more Whatever you're hearing from news and social media about this deadly disease is informative but may not be detailed enough and some are out rightly not true. Lucky for you, this informative guide takes an easy-to follow, non-alarmist approach to teaching you everything about the coronavirus so that you separate the facts from the myths as well as take the necessary precautions to stay safe! Scroll up and click Buy Now With 1-Click or Buy Now to get your copy now!",2020-03
What to do in Lock Down,Vivek Singh,"This book is written to get you in action and get rid of boredom. If you don’t have enough activities in a day and you are not able to figure out what to do in lock down then this book is for you. I have given enough number of ideas and suggestions in this book and if you research further on that, you will not only be able to pass through the lock down period positively but you will also become a better person at the end of the lock down. The purpose of this book is get the best out of the lock down.",NA
How the G20 Can Hasten Recovery from COVID-19,"Maurice Obstfeld,Adam S. Posen","The world's leading economic powers must cooperate more to combat the health and economic shocks resulting from the COVID-19 pandemic. In a new free eBook, PIIE Briefing, How the G20 can hasten recovery from COVID-19, Peterson Institute experts outline how collective action by the Group of Twenty (G20) nations can make a difference. The PIIE agenda includes removal of trade barriers impeding the flow of medical supplies and food, and more money for research, testing, and disease control, especially for debt-burdened low-income countries. The World Bank and the World Health Organization need more resources to relieve suffering, and the International Monetary Fund must step up to stabilize the world financial system.",2020-04-21
Pissing Covid-19 Away Part Two,Paul W Stansby,A couple of days further into the lockdown where the recently formed household starts is adjusting to a new lifestyle. This is also tagged onto part one but due to the amount of traffic that's getting I'm putting its out on its own so people realise its around.,2020-05-19
Coronavirus 'COVID 19' is not a Death Sentence - There is Hope for Those in Grief in Times of This Pandemic,"Dr. Sylvia Black, PhD","I offer practical and spiritual encouragement for those who are grieving from the loss of a loved one. Coronavirus it it’s not a death sentence. Many people have recovered from it and are still recovering from it. I offer health tips on how to stay mentally and physically healthy throughout the crisis. I include basic information on how the coronavirus got started, where it originated from as well as frequently asked questions. I include information on how to keep from getting Coronavirus as best you can, using preventative measures. If you care about yourself at all, you will reward yourself with taking care of yourself, And I can almost guarantee you that if you take care of your body, your body will take care of you! I include Celebrities that have contracted Coronavirus and recovered as well as Celebrities who have died from it. And talk about ways that we can fight according to the words of God.",NA
After the Pandemic,"Lawrence Knorr,Barbara Matthews,Chris Fenwick,Cheryl Woodruff-Brooks,Pat LaMarche,Scott Zuckerman,Merrill Shaffer,Marianne Bickett,Virginia Brackett,H. A. Callum,Tory Gates,Catherine Jordan,Wylie McLallen,Mark Carlson,Maia Williamson,Penny Fletcher,Iris Dorbian,Brook Lenker,Jack Adler,Joseph Mazerac,Bridget Smith,Simon Landry,Will Delavan,Wynne Kinder,Thomas Malafarina","Twenty-five Sunbury Press authors contributed twenty-seven chapters about the possible impacts of the COVID-19 pandemic on society. Based on their experiences in a variety of fields, they provide their projections about the changes facing us, many of which have already been underway for some time. Included in this volume: Tory Gates: Change and Embracing It Mark Carlson: The Role of Plagues in Human Enlightenment Wylie McLallen: The Pandemic of 1918 Thomas Malafarina: How Are Future Pandemics Likely to Be Different? Barbara Matthews: COVID-19: Through the Eyes of a Grandmother Bridget Smith: Dreams Deferred Iris Dorbian: The Great Equalizer H.A. Callum: Fighting Solo: Covid-19 and the Single Parent Catherine Jordan: Left Behind Joseph Mazerac: An Essential Optimist Scott Zuckerman: Public Health, Civil Liberties, and Life After the Pandemic Scott Zuckerman: Medicine in the Post-Coronapocalypse Era Will Delavan: The Looming Health Insurance Problem Pat LaMarche: Politics Makes No Bedfellows Virginia Brackett: COVID-19 Effects on Higher Education Cheryl Woodruff-Brooks: The Corona Virus and Homeschooling Wynne Kinder: The New ACEs: At-home COVID-19 Effects on Youth Cheryl Woodruff-Brooks: How Museums and Galleries Will Adapt to the Coronavirus Marianne Bickett: Coronavirus, Instrument of Change: How the Arts Will Usher in a New Era Merrill Shaffer: The Effects of the Coronavirus Pandemic on Sports Maia Williamson: Tourism in the Post-Pandemic World Jack Adler: The Brave New World of Travel Brook Lenker: Conservation in the Midst Simon Landry: On the Economic Front Lawrence Knorr: The Various Economic Impacts of COVID-19 Penny Fletcher: Materialism vs. Spirituality Chris Fenwick: Creativity—Necessity is a Mother",2020-05-01
"Sustaining Myanmar’s microfinance sector during the COVID-19 economic crisis to support food security, resilience, and economic recovery","Toth, Russell","This note discusses the significant risks facing microfinance institutions (MFI) in Myanmar in the wake of the COVID-19 health and economic crisis and the implications for poverty and food insecurity of a serious negative shock to the MFI sector. The note is based on a desk review of the early policy responses in Myanmar, of best practices identified by international and local experts, and online discussions with leaders of MFIs operating in Myanmar. The objective is to make policymakers aware of the crucial role MFIs play in a wide range of economic activities in Myanmar, including food production, processing, trade, and marketing. A serious disruption to the MFI sector has the potential to: • Exacerbate food insecurity through damaging economic resilience in the short-to-medium term, • Lower agricultural output in the critical upcoming monsoon production season, and • Harm the potential for microfinance to contribute to economic recovery.",2020-04-24
Covid-19 Outbreak,Not Applicable,NA,2020-04-09
PANdemIC!,Slavoj ?i?ek,NA,2020-06
"Disability, Health, Law, and Bioethics","I. Glenn Cohen,Carmel Shachar,Anita Silvers,Michael Ashley Stein","Examines how the framing of disability has serious implications for legal, medical, and policy treatments of disability.",2020-04-23
Coronavirus Outbreak,Sidney Osler,"This is an unprecedented global war, and mankind is facing the same enemy, the novel Coronavirus. And the first battlefield is the hospital where our soldiers are the medical workers. To ensure that this war can be won, we must first make sure that our medical staff is guaranteed sufficient resources, including experience and technologies. Also, we need to make sure that the hospital is the battleground where we eliminate the virus, not where the virus defeats us. Therefore, the Jack Ma Foundation and Alibaba Foundation have convened a group of medical experts who have just returned from the front lines of fighting the pandemic. With the support of The First Affiliated Hospital, Zhejiang University School of Medicine (FAHZU), they quickly published a guidebook on the clinical experience of how to treat this new coronavirus. The treatment guide offers advice and reference against the pandemic for medical staff around the world who are about to join the war. My special thanks goes out to the medical staff from FAHZU. While taking huge risks in treating COVID-19 patients, they recorded their daily experience which is reflected in this Handbook. Over the past 50 days, 104 confirmed patients have been admitted to FAHZU, including 78 severe and critically ill ones. Thanks to the pioneering efforts of medical staff and the application of new technologies, to date, we have witnessed a miracle. No staff were infected, and there were no missed diagnosis or patient deaths. Today, with the spread of the pandemic, these experiences are the most valuable sources of information and the most important weapon for medical workers on the frontline. This is a brand-new disease, and China was the first to suffer from the pandemic. Isolation, diagnosis, treatment, protective measures, and rehabilitation have all started from scratch. WE hope that this Handbook can provide doctors and nurses in other affected areas valuable information so they don’t have to enter the battlefield alone. This pandemic is a common challenge faced by mankind in the age of globalization. At this moment, sharing resources, experiences and lessons, regardless of who you are, is our only chance to win. The real remedy for this pandemic is not isolation, but cooperation. This war has just begun. Order this handbook to learn a lot more.",2020-04-17
Internationalism Or Extinction,Noam Chomsky,"In his new book, Noam Chomsky writes cogently about the threats to planetary survival that are of growing alarm today. The prospect of human extinction emerged after World War II, the dawn of a new era scientists now term the Anthropocene. Chomsky uniquely traces the duality of existential threats from nuclear weapons and from climate change--including how the concerns emerged and evolved, and how the threats can interact with one another. The introduction and accompanying interviews place these dual threats in a framework of unprecedented corporate global power which has overtaken nation states' ability to control the future and preserve the planet. Chomsky argues for the urgency of international climate and arms agreements, showing how global popular movements are mobilizing to force governments to meet this unprecedented challenge to civilization's survival.",2019-12-16
"Deutsche Namenkunde: Die deutschen Ortsnamen. Teil 1. Einleitung. Zur Laut- und Formenlehre, zur Satzfügung, Wortbildung und -bedeutung der deutschen Ortsnamen ; Mit 3 Kartenskizzen. Teil 2. Die deutschen Ortsnamen in geschichtlicher, geographischer, soziologischer und psychologischer Betrachtung. Ortnamenforshung im Dienste anderer Wissenschaften ; Mit 79 Kartenskizzen",Adolf Bach,NA,1952
