title,authors,description,published_date
Digital Humanities in Practice,"Claire Warwick,Melissa Terras,Julianne Nyhan","This cutting-edge and comprehensive introduction to digital humanities explains the scope of the discipline and state of the art and provides a wide-ranging insight into emerging topics and avenues of research. Each chapter interweaves the expert commentary of leading academics with analysis of current research and practice, exploring the possibilities and challenges that occur when culture and digital technologies intersect. International case studies of projects ranging from crowdsourced manuscript transcription to computational reconstruction of frescoes are included in each chapter, providing a wealth of information and inspiration. QR codes within each chapter link to a dedicated website where additional content, such as further case studies, is located. Key topics covered include: • studying users and readers • social media and crowdsourcing • digitization and digital resources • image processing in the digital humanities • 3D recording and museums • electronic text and text encoding • book history, texts and digital editing • open access and online teaching of digital humanities • institutional models for digital humanities. Readership: This is an essential practical guide for academics, researchers, librarians and professionals involved in the digital humanities. It will also be core reading for all humanities students and those taking courses in the digital humanities in particular.",2012-10-09
Defining Digital Humanities,"Melissa Terras,Julianne Nyhan,Edward Vanhoutte","Digital Humanities is becoming an increasingly popular focus of academic endeavour. There are now hundreds of Digital Humanities centres worldwide and the subject is taught at both postgraduate and undergraduate level. Yet the term ’Digital Humanities’ is much debated. This reader brings together, for the first time, in one core volume the essential readings that have emerged in Digital Humanities. We provide a historical overview of how the term ’Humanities Computing’ developed into the term ’Digital Humanities’, and highlight core readings which explore the meaning, scope, and implementation of the field. To contextualize and frame each included reading, the editors and authors provide a commentary on the original piece. There is also an annotated bibliography of other material not included in the text to provide an essential list of reading in the discipline. This text will be required reading for scholars and students who want to discover the history of Digital Humanities through its core writings, and for those who wish to understand the many possibilities that exist when trying to define Digital Humanities.",2016-05-13
Collaborative Research in the Digital Humanities,"Willard Mccarty,Marilyn Deegan","Collaboration within digital humanities is both a pertinent and a pressing topic as the traditional mode of the humanist, working alone in his or her study, is supplemented by explicitly co-operative, interdependent and collaborative research. This is particularly true where computational methods are employed in large-scale digital humanities projects. This book, which celebrates the contributions of Harold Short to this field, presents fourteen essays by leading authors in the digital humanities. It addresses several issues of collaboration, from the multiple perspectives of institutions, projects and individual researchers.",2016-05-23
Formal Representation and the Digital Humanities,"Paola Cotticelli-Kurras,Federico Giusfredi","What do linguistics, philology and even cultural studies have in common? There can be many answers for this question; certainly, however, they all have to deal with the new technologies and methods that go by the name of “Digital Humanities”. Today, all human sciences are facing new challenges both from the methodological point of view and from their very scientific contents. Accordingly, the number of research fields and approaches represented in this volume is large, reflecting the complexity of the problems of formalization, computation and digitalization of data and resources. The future of human sciences will be marked by the ever-increasing importance of formal models and computational tools, and the effective communication among the specialists of different fields is crucial for the scientific success of every single area of research. This collection of cutting-edge, high-quality papers is a fundamental step towards a better definition of the role the “Digital Humanities” will play in the next years.",2018-12-14
Rhetoric and the Digital Humanities,"Jim Ridolfo,William Hart-Davidson","Within the digital humanities, rhetoric has emerged as a nexus of incredible innovation, and ""Rhetoric and the Digital Humanities"" provides extensive and much-needed guidance on how the theories and methodologies of rhetorical studies can be marshaled in highly successful ways to enhance all work in digital humanities. In addition to an insightful introduction from the editors, the book offers essays from leading scholars in a variety of disciplines, organized into three tightly focused sections. The first consists of seven chapters that define field connections between rhetoric and the digital humanities. The second section offers six chapters focused on research methodology. And the third presents ten chapters offering forward-looking recommendations on pathways for exploring interdisciplinary trajectories between rhetorical studies and the digital humanities. This timely edited collection will do much to promote and strengthen interdisciplinary collaborations in the digital humanities.",2015-01-19
Big Digital Humanities,Patrik Svensson,"Big Digital Humanities has its origins in a series of seminal articles Patrik Svensson published in the Digital Humanities Quarterly between 2009 and 2012. As these articles were coming out, enthusiasm around Digital Humanities was acquiring a great deal of momentum and significant disagreement about what did or didn’t “count” as Digital Humanities work. Svensson’s articles provided a widely sought after omnibus of Digital Humanities history, practice, and theory. They were informative and knowledgeable and tended to foreground reportage and explanation rather than utopianism or territorial contentiousness. In revising his original work for book publication, Svensson has responded to both subsequent feedback and new developments. Svensson’s own unique perspective and special stake in the Digital Humanities conversation comes from his role as director of the HUMlab at Umeå University. HUMlab is a unique collaborative space and Digital Humanities center, which officially opened its doors in 2000. According to its own official description, the HUMlab is an open, creative studio environment where “students, researchers, artists, entrepreneurs and international guests come together to engage in dialogue, experiment with technology, take on challenges and move scholarship forward.” It is this last element “moving scholarship forward” that Svensson argues is the real opportunity in what he terms the “big digital humanities,” or digital humanities as practiced in collaborative spaces like the HUMlab, and he is uniquely positioned to take an account of this evolving dimension of Digital Humanities practice.",2016-07-22
Digital Humanities,Bernard Wilcox,"The field of study concerned with the interaction of humanities and digital technologies is referred to as digital humanities. The systematic use of humanities related digital resources and their applications are included in this field. It uses computing tools like text mining, data mining, data visualization, hypertext, digital mapping, statistics, information retrieval and hypermedia, among many others. Fields related to digital humanities are software studies, critical code studies and platform studies. The diverse methods in this discipline include enhanced critical curation, cultural analytics, aggregation, the animated archive, database documentaries, augmented editions, etc. This book attempts to understand the multiple branches that fall under the discipline of digital humanities and how such concepts have practical applications. It strives to provide a fair idea about this discipline and to help develop a better understanding of the latest advances within this field. The topics covered in this book offer the readers new insights in the field of digital humanities.",2019-06-18
Digital Humanities,Bryan Carter,"Digital Humanities is becoming more exciting as mobile and desktop apps flood the market allowing users to accomplish tasks that not long ago were either impossible or required complicated coding or high-end computing. This volume considers the tools that provide access to digital communications, visualization, storage and retrieval at unprecedente",2013-11-19
Digital Curation in the Digital Humanities,Arjun Sabharwal,"Archives and special collections departments have a long history of preserving and providing long-term access to organizational records, rare books, and other unique primary sources including manuscripts, photographs, recordings, and artifacts in various formats. The careful curatorial attention to such records has also ensured that such records remain available to researchers and the public as sources of knowledge, memory, and identity. Digital curation presents an important framework for the continued preservation of digitized and born-digital collections, given the ephemeral and device-dependent nature of digital content. With the emergence of analog and digital media formats in close succession (compared to earlier paper- and film-based formats) came new standards, technologies, methods, documentation, and workflows to ensure safe storage and access to content and associated metadata. Researchers in the digital humanities have extensively applied computing to research; for them, continued access to primary data and cultural heritage means both the continuation of humanities scholarship and new methodologies not possible without digital technology. Digital Curation in the Digital Humanities, therefore, comprises a joint framework for preserving, promoting, and accessing digital collections. This book explores at great length the conceptualization of digital curation projects with interdisciplinary approaches that combine the digital humanities and history, information architecture, social networking, and other themes for such a framework. The individual chapters focus on the specifics of each area, but the relationships holding the knowledge architecture and the digital curation lifecycle model together remain an overarching theme throughout the book; thus, each chapter connects to others on a conceptual, theoretical, or practical level. theoretical and practical perspectives on digital curation in the digital humanities and history in-depth study of the role of social media and a social curation ecosystem the role of hypertextuality and information architecture in digital curation study of collaboration and organizational dimensions in digital curation reviews of important web tools in digital humanities",2015-04-11
Guide to Programming for the Digital Humanities,Brian Kokensparger,"As an introduction to programming for the Digital Humanities (DH), this book presents six key assignments oriented on DH topics. The topics include Computing Change Over Time (calculating burials at a historic cemetery), Visualizing Change Over Time (visualizing the burials at the historic cemetery), Textual Analysis (finding word frequencies and “stop words” in public domain texts), XML Transformation (transforming a simplified version of XML into HTML styled with CSS), Stylometry (comparing the measured features of graphic images), and Social Network Analysis (analyzing extended relationships in historic circles). The book focuses on the practical application of these assignments in the classroom, providing a range of variations for each assignment, which can be selected on the basis of students’ specific programming background and skills; “atomic” assignments, which can be used to give students the experience they need to successfully complete the main assignments; and some common pitfalls and gotchas to manage in the classroom. The book’s chief goals are to introduce novice computer science (CS) students to programming for DH, and to offer them valuable hands-on experience with core programming concepts.",2018-08-23
Digital Humanities,Olivier Le Deuff,"Where do the digital humanities really come from? Are they really news? What are the theoretical and technical influences that participate in this scientific field that arouses interest and questions? This book tries to show and explain the main theories and methods that have allowed their current constitution. The aim of the book is to propose a new way to understand the history of digital humanities in a broader perspective than the classic history with the project of Robert Busa. The short digital humanities perspective neglects lots of actors and disciplines. The book tries to show the importance of other fields than humanities computing like scientometry, infometry, econometry, mathematical linguistics, geography and documentation.",2018-04-16
Rhetoric and the Digital Humanities,"Jim Ridolfo,William Hart-Davidson","Within the digital humanities, rhetoric has emerged as a nexus of incredible innovation, and ""Rhetoric and the Digital Humanities"" provides extensive and much-needed guidance on how the theories and methodologies of rhetorical studies can be marshaled in highly successful ways to enhance all work in digital humanities. In addition to an insightful introduction from the editors, the book offers essays from leading scholars in a variety of disciplines, organized into three tightly focused sections. The first consists of seven chapters that define field connections between rhetoric and the digital humanities. The second section offers six chapters focused on research methodology. And the third presents ten chapters offering forward-looking recommendations on pathways for exploring interdisciplinary trajectories between rhetorical studies and the digital humanities. This timely edited collection will do much to promote and strengthen interdisciplinary collaborations in the digital humanities.",2015-01-19
Defining Digital Humanities,"Melissa Terras,Julianne Nyhan,Edward Vanhoutte","Digital Humanities is becoming an increasingly popular focus of academic endeavour. There are now hundreds of Digital Humanities centres worldwide and the subject is taught at both postgraduate and undergraduate level. Yet the term ’Digital Humanities’ is much debated. This reader brings together, for the first time, in one core volume the essential readings that have emerged in Digital Humanities. We provide a historical overview of how the term ’Humanities Computing’ developed into the term ’Digital Humanities’, and highlight core readings which explore the meaning, scope, and implementation of the field. To contextualize and frame each included reading, the editors and authors provide a commentary on the original piece. There is also an annotated bibliography of other material not included in the text to provide an essential list of reading in the discipline. This text will be required reading for scholars and students who want to discover the history of Digital Humanities through its core writings, and for those who wish to understand the many possibilities that exist when trying to define Digital Humanities.",2016-05-13
Cultural Heritage Infrastructures in Digital Humanities,"Agiatis Benardou,Erik Champion,Costis Dallas,Lorna Hughes","What are the leading tools and archives in digital cultural heritage? How can they be integrated into research infrastructures to better serve their intended audiences? In this book, authors from a wide range of countries, representing some of the best research projects in digital humanities related to cultural heritage, discuss their latest findings, both in terms of new tools and archives, and how they are used (or not used) by both specialists and by the general public.",2017-09-22
Digital Humanities,SALLY. CHAMBERS,"Librarians have an important role to play in the burgeoning world of Digital Humanities and digital scholarship more widely. This book provides an accessible, introductory guide to digital humanities with the librarian in mind. Digital Humanities: An introduction for librarians gives a brief history of the field, before dives deeper into the digital scholarly activity taking a two-pronged approach, involving active researchers in the field and using real research projects as case studies throughout. The book will: provide an overview of how 'the digital' has affected a range of humanities disciplines from literary studies, history to digital musicology Review key tools and methodologies currently used, from digital scholarly editing through social network analysis to 3D modelling of archaeological data look at existing digital humanities activities that are currently happening in a range of libraries across the UK, Europe and the United States look at professional development and training opportunities from digital humanities at library school, staff training and development, including examples of training programmes and professional associations. This book is intended to provide an essential guide to getting up to speed with digital humanities, specifically designed with the librarian in mind.",2020-04-30
Critical Digital Humanities,James E Dobson,"Can established humanities methods coexist with computational thinking? It is one of the major questions in humanities research today, as scholars increasingly adopt sophisticated data science for their work. James E. Dobson explores the opportunities and complications faced by humanists in this new era. Though the study and interpretation of texts alongside sophisticated computational tools can serve scholarship, these methods cannot replace existing frameworks. As Dobson shows, ideas of scientific validity cannot easily nor should be adapted for humanities research because digital humanities, unlike science, lack a leading-edge horizon charting the frontiers of inquiry. Instead, the methods of digital humanities require a constant rereading. At the same time, suspicious and critical readings of digital methodologies make it unwise for scholars to defer to computational methods. Humanists must examine the tools--including the assumptions that went into the codes and algorithms--and questions surrounding their own use of digital technology in research. Insightful and forward thinking, Critical Digital Humanities lays out a new path of humanistic inquiry that merges critical theory and computational science.",2019-03-16
Digital Humanities Pedagogy,Brett D. Hirsch,"""The essays in this collection offer a timely intervention in digital humanities scholarship, bringing together established and emerging scholars from a variety of humanities disciplines across the world. The first section offers views on the practical realities of teaching digital humanities at undergraduate and graduate levels, presenting case studies and snapshots of the authors' experiences alongside models for future courses and reflections on pedagogical successes and failures. The next section proposes strategies for teaching foundational digital humanities methods across a variety of scholarly disciplines, and the book concludes with wider debates about the place of digital humanities in the academy, from the field's cultural assumptions and social obligations to its political visions."" (4e de couverture).",2012
Formal Representation and the Digital Humanities,"Paola Cotticelli-Kurras,Federico Giusfredi","What do linguistics, philology and even cultural studies have in common? There can be many answers for this question; certainly, however, they all have to deal with the new technologies and methods that go by the name of “Digital Humanities”. Today, all human sciences are facing new challenges both from the methodological point of view and from their very scientific contents. Accordingly, the number of research fields and approaches represented in this volume is large, reflecting the complexity of the problems of formalization, computation and digitalization of data and resources. The future of human sciences will be marked by the ever-increasing importance of formal models and computational tools, and the effective communication among the specialists of different fields is crucial for the scientific success of every single area of research. This collection of cutting-edge, high-quality papers is a fundamental step towards a better definition of the role the “Digital Humanities” will play in the next years.",2018-12-14
Teaching with Digital Humanities,"Jennifer Travis,Jessica DeSpain","Jennifer Travis and Jessica DeSpain present a long-overdue collection of theoretical perspectives and case studies aimed at teaching nineteenth-century American literature using digital humanities tools and methods. Scholars foundational to the development of digital humanities join educators who have made digital methods central to their practices. Together they discuss and illustrate how digital pedagogies deepen student learning. The collection's innovative approach allows the works to be read in any order. Dividing the essays into five sections, Travis and DeSpain curate conversations on the value of project-based, collaborative learning; examples of real-world assignments where students combine close, collaborative, and computational reading; how digital humanities aids in the consideration of marginal texts; the ways in which an ethics of care can help students organize artifacts; and how an activist approach affects debates central to the study of difference in the nineteenth century.",2018-11-15
Debates in the Digital Humanities 2019,"Matthew K. Gold,Lauren F. Klein","The latest installment of a digital humanities bellwether Contending with recent developments like the shocking 2016 U.S. Presidential election, the radical transformation of the social web, and passionate debates about the future of data in higher education, Debates in the Digital Humanities 2019 brings together a broad array of important, thought-provoking perspectives on the field’s many sides. With a wide range of subjects including gender-based assumptions made by algorithms, the place of the digital humanities within art history, data-based methods for exhuming forgotten histories, video games, three-dimensional printing, and decolonial work, this book assembles a who’s who of the field in more than thirty impactful essays. Contributors: Rafael Alvarado, U of Virginia; Taylor Arnold, U of Richmond; James Baker, U of Sussex; Kathi Inman Berens, Portland State U; David M. Berry, U of Sussex; Claire Bishop, The Graduate Center, CUNY; James Coltrain, U of Nebraska–Lincoln; Crunk Feminist Collective; Johanna Drucker, U of California–Los Angeles; Jennifer Edmond, Trinity College; Marta Effinger-Crichlow, New York City College of Technology–CUNY; M. Beatrice Fazi, U of Sussex; Kevin L. Ferguson, Queens College–CUNY; Curtis Fletcher, U of Southern California; Neil Fraistat, U of Maryland; Radhika Gajjala, Bowling Green State U; Michael Gavin, U of South Carolina; Andrew Goldstone, Rutgers U; Andrew Gomez, U of Puget Sound; Elyse Graham, Stony Brook U; Brian Greenspan, Carleton U; John Hunter, Bucknell U; Steven J. Jackson, Cornell U; Collin Jennings, Miami U; Lauren Kersey, Saint Louis U; Kari Kraus, U of Maryland; Seth Long, U of Nebraska, Kearney; Laura Mandell, Texas A&M U; Rachel Mann, U of South Carolina; Jason Mittell, Middlebury College; Lincoln A. Mullen, George Mason U; Trevor Muñoz, U of Maryland; Safiya Umoja Noble, U of Southern California; Jack Norton, Normandale Community College; Bethany Nowviskie, U of Virginia; Élika Ortega, Northeastern U; Marisa Parham, Amherst College; Jussi Parikka, U of Southampton; Kyle Parry, U of California, Santa Cruz; Brad Pasanek, U of Virginia; Stephen Ramsay, U of Nebraska–Lincoln; Matt Ratto, U of Toronto; Katie Rawson, U of Pennsylvania; Ben Roberts, U of Sussex; David S. Roh, U of Utah; Mark Sample, Davidson College; Moacir P. de Sá Pereira, New York U; Tim Sherratt, U of Canberra; Bobby L. Smiley, Vanderbilt U; Lauren Tilton, U of Richmond; Ted Underwood, U of Illinois, Urbana-Champaign; Megan Ward, Oregon State U; Claire Warwick, Durham U; Alban Webb, U of Sussex; Adrian S. Wisnicki, U of Nebraska–Lincoln.",2019-04-30
Digital Humanities,Bryan Carter,"Digital Humanities is becoming more exciting as mobile and desktop apps flood the market allowing users to accomplish tasks that not long ago were either impossible or required complicated coding or high-end computing. This volume considers the tools that provide access to digital communications, visualization, storage and retrieval at unprecedente",2013-11-19
Digital Humanities and New Ways of Teaching,Anna Wing-bo Tso,"This volume includes a variety of first-hand case studies, critical analyses, action research and reflective practice in the digital humanities which ranges from digital literature, library science, online games, museum studies, information literacy to corpus linguistics in the 21st century. It informs readers of the latest developments in the digital humanities and their influence on learning and teaching. With the growing advancement of digital technology, humanistic inquiries have expanded and transformed in unfathomable complexity as new content is being rapidly created. The emergence of electronic archiving, digital scholarship, digitized pedagogy, textual digitization and software creation has brought about huge impacts on both humanities subjects and the university curricula in terms of nature, scope and design. This volume provides insights into what these technological changes mean for all the stakeholders involved and for the ways in which humanities subjects are understood. Part 1 of this volume begins with a broad perspective on digital humanities and discusses the current status of the field in Asia, Canada and Europe. Then, with a special focus on new literacies, educational implications, and innovative research in the digital humanities, Parts 2-4 explore how digital technology revolutionizes art forms, curricula, and pedagogy, revealing the current practices and latest trends in the digital humanities. Written by experts and researchers across Asia, Australia, Canada and Europe, this volume brings global insights into the digital humanities, particularly in the education aspect. It is of interest to researchers and students of cultural studies, literature, education, and technology studies. The strongest point of this collection of work is that, it brings important concepts to the study of digital literacies, for example, looking at it from the perspective of new literacies, languages and education. Daniel Churchill, Associate Professor, Faculty of Education, The University of Hong Kong With a rapidly growing advancement in digital tools, this book has made a relevant contribution by informing readers what the latest development of these tools are, and discusses how they can aid research, libraries, education and even poets across different continents. Samuel Kai-wah Chu, Associate Professor, Faculty of Education, The University of Hong Kong",2019-01-10
Guide to Programming for the Digital Humanities,Brian Kokensparger,"As an introduction to programming for the Digital Humanities (DH), this book presents six key assignments oriented on DH topics. The topics include Computing Change Over Time (calculating burials at a historic cemetery), Visualizing Change Over Time (visualizing the burials at the historic cemetery), Textual Analysis (finding word frequencies and “stop words” in public domain texts), XML Transformation (transforming a simplified version of XML into HTML styled with CSS), Stylometry (comparing the measured features of graphic images), and Social Network Analysis (analyzing extended relationships in historic circles). The book focuses on the practical application of these assignments in the classroom, providing a range of variations for each assignment, which can be selected on the basis of students’ specific programming background and skills; “atomic” assignments, which can be used to give students the experience they need to successfully complete the main assignments; and some common pitfalls and gotchas to manage in the classroom. The book’s chief goals are to introduce novice computer science (CS) students to programming for DH, and to offer them valuable hands-on experience with core programming concepts.",2018-08-23
The Big Humanities,Richard J. Lane,"This book provides an accessible introduction to, and overview of, the digital humanities, one of the fastest growing areas of literary studies. Lane takes a unique approach by focusing on the technologies and the new environment in which the digital humanities largely takes place: the digital laboratory. The book provides a brief history of DH, explores and explains the methodologies of past and current DH projects, and offers resources such as detailed case studies and bibliographies. Further, the focus on the digital laboratory space reveals affiliations with the types of research that have traditionally taken place in the sciences, as well as convergences with other fast-growing research spaces, namely innovation labs, fabrication labs, maker spaces, digital media labs, and change labs. The volume highlights the profound transformation of literary studies that is underway, one in which the adoption of powerful technology – and concomitantly being situated within a laboratory environment – is leading to an important re-engagement in the arts and humanities, and a renewed understanding of literary studies in the digital age, as well as a return to large-scale financial investment in humanistic research. It will be useful to students and teachers, as well as administrators and managers in charge of research infrastructure and funding decisions who need an accessible overview of this technological transformation in the humanities. Combining useful detail and an overview of the field, the book will offers accessible entry into this rapidly growing field.",2016-11-25
Research Methods for Reading Digital Data in the Digital Humanities,Gabriele Griffin,"The first volume to introduce the techniques and methods of reading digital material for researchDigital Humanities has become one of the new domains of academe at the interface of technological development, epistemological change, and methodological concerns. This volume explores how digital material might be read or utilized in research, whether that material is digitally born as fanfiction, for example, mostly is, or transposed from other sources. The volume asks questions such as what happens when text is transformed from printed into digital matter, and how that impacts on the methods we bring to bear on exploring that technologized matter, for example in the case of digital editions. Issues such as how to analyse visual material in digital archives or Twitter feeds, how to engage in data mining, what it means to undertake crowd-sourcing, big data, and what digital network analyses can tell us about online interactions are dealt with. This will give Humanities researchers ideas for doing digitally based research and also suggest ways of engaging with new digital research methods. Key featuresFirst volume centred on the navigation and interpretation of digital material as research methods in the HumanitiesUp-to-date analyses of issues and methods including big data, crowdsourcing, digital network analysis, working with digital additionsBased on actual research projects such as para-textual work with fanfiction, reading twitter, different kinds of distant and close readings",2016-02-15
NEW COMPANION TO DIGITAL HUMANITIES,SUSAN SCHREIBMAN,NA,2015-11-20
Interdisciplining Digital Humanities,Julie T Klein,The first book to test the claim that the emerging field of Digital Humanities is interdisciplinary and also examines the boundary work of establishing and sustaining a new field of study,2015-01-05
