title,authors,description,published_date
James Baldwin,Lisa Rosset,"After writing several controversial articles about racism in America, Baldwin moved to Europe and started a career in novel writing. His impassioned style of writing conveyed an urgent need for change in the black ghetto life and he came to be looked upon as the leading spokesman on racial affairs.",1990
Another Country,James Baldwin,"Classic fiction. This masterly story of desire, hatred and violence opens with the unforgettable character of Rufus Scott, a scavenging Harlem jazz musician adrift in New York. Self-destructive, bad and brilliant, he draws us into a Bohemian underworld pulsing with heat, music and sex, where desperate and dangerous characters betray, love and test each other to the limit.",1963
The Chicken Salad Club,Marsha Diane Arnold,"Nathaniel's great-grandfather, who is 100 years old, loves to tell stories from his past but seeks someone to join him with a new batch of stories.",1998
James Baldwin,David Leeming,"James Baldwin was one of the great writers of the last century. In works that have become part of the American canon—Go Tell It on a Mountain, Giovanni’s Room, Another Country, The Fire Next Time, and The Evidence of Things Not Seen—he explored issues of race and racism in America, class distinction, and sexual difference. A gay, African American writer who was born in Harlem, he found the freedom to express himself living in exile in Paris. When he returned to America to cover the Civil Rights movement, he became an activist and controversial spokesman for the movement, writing books that became bestsellers and made him a celebrity, landing him on the cover of Time. In this biography, which Library Journal called “indispensable,” David Leeming creates an intimate portrait of a complex, troubled, driven, and brilliant man. He plumbs every aspect of Baldwin’s life: his relationships with the unknown and the famous, including painter Beauford Delaney, Richard Wright, Lorraine Hansberry, Marlon Brando, Harry Belafonte, Lena Horne, and childhood friend Richard Avedon; his expatriate years in France and Turkey; his gift for compassion and love; the public pressures that overwhelmed his quest for happiness, and his passionate battle for black identity, racial justice, and to “end the racial nightmare and achieve our country.” Skyhorse Publishing, along with our Arcade, Good Books, Sports Publishing, and Yucca imprints, is proud to publish a broad range of biographies, autobiographies, and memoirs. Our list includes biographies on well-known historical figures like Benjamin Franklin, Nelson Mandela, and Alexander Graham Bell, as well as villains from history, such as Heinrich Himmler, John Wayne Gacy, and O. J. Simpson. We have also published survivor stories of World War II, memoirs about overcoming adversity, first-hand tales of adventure, and much more. While not every title we publish becomes a New York Times bestseller or a national bestseller, we are committed to books on subjects that are sometimes overlooked and to authors whose work might not otherwise find a home.",2015-02-24
James Baldwin,Harold Bloom,A collection of essays presenting critiques and analysis of the major works of the African American author.,2007-01-01
The Cross of Redemption,James Baldwin,"A treasury of essays, articles and reviews by the late author of Giovanni's Room includes pieces that explore such topics as religious fundamentalism, Russian literature and the possibility of an African-American president.",2011
School Reading by Grades,James Baldwin,NA,1897
James Baldwin,Ted Gottfried,"Discusses Baldwin's childhood in Harlem, his expatriate experiences, and his return to the U.S. in the 1960s to work for the Civil Rights movement",1997
Later Novels,James Baldwin,"James Baldwin established himself as the indispensable voice of the Civil Rights era, a figure whose prophetic exploration of the racial and sexual fissures in American society raised the consciousness of American readers. This new Library of America volume see's three of Baldwin's later novels collected for the first time; Tell Me How Long the Train's Been Gone (1968), If Beale Street Could Talk (1974) and Just Above My Head (1979).",2015
Another Country,James Baldwin,"Classic fiction. This masterly story of desire, hatred and violence opens with the unforgettable character of Rufus Scott, a scavenging Harlem jazz musician adrift in New York. Self-destructive, bad and brilliant, he draws us into a Bohemian underworld pulsing with heat, music and sex, where desperate and dangerous characters betray, love and test each other to the limit.",1963
The Chicken Salad Club,Marsha Diane Arnold,"Nathaniel's great-grandfather, who is 100 years old, loves to tell stories from his past but seeks someone to join him with a new batch of stories.",1998
James Baldwin,David Leeming,"James Baldwin was one of the great writers of the last century. In works that have become part of the American canon—Go Tell It on a Mountain, Giovanni’s Room, Another Country, The Fire Next Time, and The Evidence of Things Not Seen—he explored issues of race and racism in America, class distinction, and sexual difference. A gay, African American writer who was born in Harlem, he found the freedom to express himself living in exile in Paris. When he returned to America to cover the Civil Rights movement, he became an activist and controversial spokesman for the movement, writing books that became bestsellers and made him a celebrity, landing him on the cover of Time. In this biography, which Library Journal called “indispensable,” David Leeming creates an intimate portrait of a complex, troubled, driven, and brilliant man. He plumbs every aspect of Baldwin’s life: his relationships with the unknown and the famous, including painter Beauford Delaney, Richard Wright, Lorraine Hansberry, Marlon Brando, Harry Belafonte, Lena Horne, and childhood friend Richard Avedon; his expatriate years in France and Turkey; his gift for compassion and love; the public pressures that overwhelmed his quest for happiness, and his passionate battle for black identity, racial justice, and to “end the racial nightmare and achieve our country.” Skyhorse Publishing, along with our Arcade, Good Books, Sports Publishing, and Yucca imprints, is proud to publish a broad range of biographies, autobiographies, and memoirs. Our list includes biographies on well-known historical figures like Benjamin Franklin, Nelson Mandela, and Alexander Graham Bell, as well as villains from history, such as Heinrich Himmler, John Wayne Gacy, and O. J. Simpson. We have also published survivor stories of World War II, memoirs about overcoming adversity, first-hand tales of adventure, and much more. While not every title we publish becomes a New York Times bestseller or a national bestseller, we are committed to books on subjects that are sometimes overlooked and to authors whose work might not otherwise find a home.",2015-02-24
James Baldwin,Harold Bloom,A collection of essays presenting critiques and analysis of the major works of the African American author.,2007-01-01
School Reading by Grades,James Baldwin,NA,1897
James Baldwin,"A. Scott Henderson,Paul Lee Thomas","""The recognition and study of African American (AA) artists and public intellectuals often include Martin Luther King, Jr., and occasionally Booker T. Washington, W.E.B. DuBois, and Malcolm X. The literary canon also adds Ralph Ellison, Richard White, Langston Hughes, and others such as female writers Zora Neale Hurston, Maya Angelou, and Alice Walker. Yet, the acknowledgement of AA artists and public intellectuals tends to skew the voices and works of those included toward normalized portrayals that fit wellwithin foundational aspects of the American myths refl ected in and perpetuated by traditional schooling. Further, while many AA artists and public intellectuals are distorted by mainstream media, public and political characterizations, and the curriculum, several powerful AA voices are simply omitted, ignored, including James Baldwin. This edited volume gathers a collection of essays from a wide range of perspectives that confront Baldwin’s impressive and challenging canon as well as his role as a public intellectual. Contributors also explore Baldwin as a confrontational voice during his life and as an enduring call for justice.""",2014-05-05
"Little Man, Little Man",James Baldwin,"Now available for the first time in nearly forty years, James Baldwin's only children's book Little Man, Little Man follows the day to day life of the four year old protagonist TJ and his friends in their 1970s Harlem neighborhood as they encounter the social realities of being black in America.",2018
Nobody Knows My Name,James Baldwin,"Baldwin's early essays have been described as 'an unequalled meditation on what it means to be black in America' . This rich and stimulating collection contains 'Fifth Avenue, Uptown: a Letter from Harlem', polemical pieces on the tragedies inflicted by racial segregation and a poignant account of his first journey to 'the Old Country' , the southern states. Yet equally compelling are his 'Notes for a Hypothetical Novel' and personal reflections on being American, on oother major artists - Ingmar Bergman and Andre Gide, Norman Mailer and Richard Wright - and on the first great conferance of Negro - American writers and artists in Paris. In his introduction Baldwin descrides the writer as requiring 'every ounce of stamina he can summon to attempt to look on himself and the world as they are' ; his uncanny ability to do just that is proclaimed on every page of this famous book.",1991-08-29
Come Out the Wilderness,James Baldwin,"A Vintage Shorts “Short Story Month” Selection James Baldwin’s commanding prose remains as pressing in its compassionate portrayal of marginalized figures today as it was during the peak of the Civil Rights Movement. In “Come Out the Wilderness,” an essential and tremendous classic of American literature, Baldwin unmasks the heartbreak of one African American woman’s spiritual, sexual, moral, and ultimately futile struggle for control of her future and her happiness in mid-century New York. An ebook short.",2016-05-15
I Am Not Your Negro,James Baldwin,"Transcript of the documentary film, I am not your negro, by Raoul Peck composed of unpublished and published writings, interviews, and letters by James Baldwin on the subject of racism in America.",2017
Giovanni's Room,James Baldwin,"When David meets the sensual Giovanni in a bohemian bar, he is swept into a passionate love affair. But his girlfriend's return to Paris destroys everything. Unable to admit to the truth, David pretends the liaison never happened - while Giovanni's life descends into tragedy. United by the theme of love, the writings in the Great Loves series span over two thousand years and vastly different worlds. Readers will be introduced to love's endlessly fascinating possibilities and extremities: romantic love, platonic love, erotic love, gay love, virginal love, adulterous love, parental love, filial love, nostalgic love, unrequited love, illicit love, not to mention lost love, twisted and obsessional love . . . .",2007
James Baldwin,William J. Maxwell,"Available in book form for the first time, the FBI's secret dossier on the legendary and controversial writer. Decades before Black Lives Matter returned James Baldwin to prominence, J. Edgar Hoover’s FBI considered the Harlem-born author the most powerful broker between black art and black power. Baldwin’s 1,884-page FBI file, covering the period from 1958 to 1974, was the largest compiled on any African American artist of the Civil Rights era. This collection of once-secret documents, never before published in book form, captures the FBI’s anxious tracking of Baldwin’s writings, phone conversations, and sexual habits—and Baldwin’s defiant efforts to spy back at Hoover and his G-men. James Baldwin: The FBI File reproduces over one hundred original FBI records, selected by the noted literary historian whose award-winning book, F.B. Eyes: How J. Edgar Hoover’s Ghostreaders Framed African American Literature, brought renewed attention to bureau surveillance. William J. Maxwell also provides an introduction exploring Baldwin's enduring relevance in the time of Black Lives Matter along with running commentaries that orient the reader and offer historical context, making this book a revealing look at a crucial slice of the American past—and present.",2017-06-06
James Baldwin,James Tackach,"Discusses the life of James Baldwin, his activism in civil rights, and the importance of his writings.",1996
Nothing Personal: Nothing personal,"James Baldwin,Hilton Als","This meticulous reprint of Richard Avedon and James Baldwin's searing monograph, Nothing Personal, explores the contradictions at the heart of American experience, juxtaposing subjects from Marilyn Monroe and Allen Ginsberg to mental asylum patients and the American Nazi party. A 72-page booklet features outtakes, correspondence, ephemera, and an essay by Pulitzer Prize winner Hilton Als. ""If a society permits one portion of its citizenry to be menaced or destroyed,... no one in that society is safe. The forces thus released in the people can never be held in check, but run their devouring course."" -- James Baldwin, Nothing Personal",2017
Nobody Knows My Name,James Baldwin,"Told with Baldwin's characteristically unflinching honesty, this collection of illuminating, deeply felt essays examines topics ranging from race relations in the United States to the role of the writer in society, and offers personal accounts of Richard Wright, Norman Mailer and other writers.",2013-09-17
"A Study Guide for James Baldwin's ""Notes of a Native Son""","Gale, Cengage Learning","A Study Guide for James Baldwin's ""Notes of a Native Son,"" excerpted from Gale's acclaimed Nonfiction Classics for Students. This concise study guide includes plot summary; character analysis; author biography; study questions; historical context; suggestions for further reading; and much more. For any literature project, trust Nonfiction Classics for Students for all of your research needs.",2016
Another Country,James Baldwin,"Nominated as one of America’s best-loved novels by PBS’s The Great American Read Set in Greenwich Village, Harlem, and France, among other locales, Another Country is a novel of passions--sexual, racial, political, artistic--that is stunning for its emotional intensity and haunting sensuality, depicting men and women, blacks and whites, stripped of their masks of gender and race by love and hatred at the most elemental and sublime.",2013-09-17
James Baldwin,Bill Mullen,"In the first major biography of Baldwin in more than a decade, Bill V. Mullen celebrates the personal and political life of the great African-American writer who changed the face of Western politics and culture.As a lifelong anti-imperialist, black queer advocate, and feminist, Baldwin (1924-1987) was a passionate chronicler of the rise of the Civil Rights Movement, the U.S. war against Vietnam, Palestinian liberation struggle, and the rise of LGBTQ rights.Mullen explores how Baldwin's life and work channel the long history of African-American freedom struggles, and explains how Baldwin both predicted and has become a symbol of the global Black Lives Matter movement.",2019
James Baldwin,"Bill Schwarz,Cora Kaplan","""This fine collection of essays represents an important contribution to the rediscovery of Baldwin's stature as essayist, novelist, black prophetic political voice, and witness to the Civil Rights era. The title provides an excellent thematic focus. He understood both the necessity, and the impossibility, of being a black 'American' writer. He took these issues 'Beyond'---Paris, Istanbul, various parts of Africa---but this formative experience only returned him to the unresolved dilemmas. He was a fine novelist and a major prophetic political voice. He produced some of the most important essays of the twentieth century and addressed in depth the complexities of the black political movement. His relative invisibility almost lost us one of the most significant voices of his generation. This welcome 'revival' retrieves it. Close call."" ---Stuart Hall, Professor Emeritus, Open University This interdisciplinary collection by leading writers in their fields brings together a discussion of the many facets of James Baldwin, both as a writer and as the prophetic conscience of a nation. The core of the volume addresses the shifting, complex relations between Baldwin as an American—“as American as any Texas GI” as he once wryly put it—and his life as an itinerant cosmopolitan. His ambivalent imaginings of America were always mediated by his conception of a world “beyond” America: a world he knew both from his travels and from his voracious reading. He was a man whose instincts were, at every turn, nurtured by America; but who at the same time developed a ferocious critique of American exceptionalism. In seeking to understand how, as an American, he could learn to live with difference—breaking the power of fundamentalisms of all stripes—he opened an urgent, timely debate that is still ours. His America was an idea fired by desire and grief in equal measure. As the authors assembled here argue, to read him now allows us to imagine new possibilities for the future. With contributions by Kevin Birmingham, Douglas Field, Kevin Gaines, Briallen Hopper, Quentin Miller, Vaughn Rasberry, Robert Reid-Pharr, George Shulman, Hortense Spillers, Colm Tóibín, Eleanor W. Traylor, Cheryl A. Wall, and Magdalena Zaborowska.",2011-10-05
I Know Why the Caged Bird Sings,Maya Angelou,"Here is a book as joyous and painful, as mysterious and memorable, as childhood itself. I Know Why the Caged Bird Sings captures the longing of lonely children, the brute insult of bigotry, and the wonder of words that can make the world right. Maya Angelou’s debut memoir is a modern American classic beloved worldwide. Sent by their mother to live with their devout, self-sufficient grandmother in a small Southern town, Maya and her brother, Bailey, endure the ache of abandonment and the prejudice of the local “powhitetrash.” At eight years old and back at her mother’s side in St. Louis, Maya is attacked by a man many times her age—and has to live with the consequences for a lifetime. Years later, in San Francisco, Maya learns that love for herself, the kindness of others, her own strong spirit, and the ideas of great authors (“I met and fell in love with William Shakespeare”) will allow her to be free instead of imprisoned. Poetic and powerful, I Know Why the Caged Bird Sings will touch hearts and change minds for as long as people read. “I Know Why the Caged Bird Sings liberates the reader into life simply because Maya Angelou confronts her own life with such a moving wonder, such a luminous dignity.”—James Baldwin From the Paperback edition.",2010-07-21
James Baldwin,Glynnis Reed,"The connection between American whites and blacks is far deeper and more passionate than any of us like to think. These words from the introduction of his collection of essays in ""Nobody Knows My Name"" shows the truth-telling strength of a brave man. James Baldwin was an outspoken advocate for social justice and equality for black people in America. He lent a creative and powerful voice to the civil rights struggle of the 1960s and brilliantly critiqued the problems of race in the twentieth century. Through his novels, plays, poetry, and essays, Baldwin urged the world to understand and appreciate the humanity and complexity of African Americans. This thought-provoking biography analyzes the life behind this creative force and will inspire your readers to be true to themselves and strong of conviction.",2019-12-15
James Baldwin,Quincy Troupe,NA,1989
A Historical Guide to James Baldwin,Douglas Field,"With contributions from major scholars of African American literature, history, and cultural studies, A Historical Guide to James Baldwin focuses on the four tumultous decades that defined the great author's life and art. Providing a comprehensive examination of Baldwin's varied body of work that includes short stories, novels, and polemical essays, this collection reflects the major events that left an indelible imprint on the iconic writer: civil rights, black nationalism and the struggle for gay rights in the pre- and post-Stonewall eras. The essays also highlight Baldwin's under-studied role as a trans-Atlantic writer, his lifelong struggle with faith, and his use of music, especially the blues, as a key to unlock the mysteries of his identity as an exile, an artist, and a black American in a racially hostile era.",2009
Re-viewing James Baldwin,Daniel Quentin Miller,"This new collection of essays presents a critical reappraisal of James Baldwin's work, looking beyond the commercial and critical success of some of Baldwin's early writings such as Go Tell it on the Mountain and Notes of a Native Son. Focusing on Baldwin's critically undervalued early works and the virtually neglected later ones, the contributors illuminate little-known aspects of this daring author's work and highlight his accomplishments as an experimental writer. Attentive to his innovations in style and form, Things Not Seen reveals an author who continually challenged cultural norms and tackled matters of social justice, sexuality, and racial identity. As volume editor D. Quentin Miller notes, ""what has been lost is a complete portrait of [Baldwin's] tremendously rich intellectual journey that illustrates the direction of African-American thought and culture in the late twentieth century."" This is an important book for anyone interested in Baldwin's work. It will engage readers interested in literature and African-American Studies. Author note: D. Quentin Miller is Assistant Professor of English at Gustavus Adolphus College, Saint Peter, MN.",2000
James Baldwin,Carolyn Wedin Sylvander,"Studying all of Baldwin's writings--from his early essaysto Just Above My Head, his latest novel--Sylvander shows how Balwin has drawn on his early struggles to produce a passionate and humane body of work.",1980
Fifty Famous People,James Baldwin,NA,1912
Go Tell It on the Mountain,James Baldwin,"""A hardcover edition of James Baldwin's classic coming-of-age novel set in Harlem in the 1930s, with a new introduction by Edwidge Danticat""--",2016
The Story of Roland,James Baldwin,NA,1888
Just Above My Head,James Baldwin,"Love and courage bind three extraordinary people--a former child evangelist, a famous gospel singer, and the latter's manager-brother--as they shape and are shaped by the events of the past three decades.",2000
English Language and Literary Criticism: English poetry,James Baldwin,NA,1882
Baldwin - Collected Essays,James Baldwin,"Offers a comprehensive gathering of Baldwin's nonfiction works that articulates issues of race, democracy, and American identity. His landmark collections, Notes of a native son and Nobody knows my name fuse the personal, literary, and the political. The classic, The fire next time, provides an analysis of America's racial divide and No name in the street and The Devil finds work chart is continuing response to the social and political turbulence of his era. Thirty-six additional essays--nine previously uncollected--record insights into the language of Shakespeare, and poetry of Langston Hughes, the music of Earl Hines, and more. --From publisher description.",1998
Giovanni's Room,James Baldwin,"Set in the 1950s Paris of American expatriates, liaisons, and violence, a young man finds himself caught between desire and conventional morality. With a sharp, probing imagination, James Baldwin's now-classic narrative delves into the mystery of loving and creates a moving, highly controversial story of death and passion that reveals the unspoken complexities of the human heart.",2013-09-17
Tell Me How Long the Train's Been Gone,James Baldwin,"In this tender, impassioned fourth novel, James Baldwin created one of his most striking characters: a man struggling to become himself. 'Everyone wishes to be loved, but in the event, nearly no one can bear it' At the height of his theatrical career, the actor Leo Proudhammer is nearly felled by a heart attack. As he hovers between life and death, we see the choices that have made him enviably famous and terrifyingly vulnerable. For between Leo's childhood on the streets of Harlem and his arrival into the world of the theatre lies a wilderness of desire and loss, shame and rage. And everywhere there is the anguish of being black in a society that seems poised on the brink of racial war. In this tender, angry 1968 novel, James Baldwin created one of his most striking characters: a man struggling to become himself. 'The emotion surrounding family attachment... is deeply felt and is one reasons he continues to be read with such intensity' Colm Tóibín",2018-10-04
The Price of the Ticket,James Baldwin,"The works of James Baldwin constitute one of the major contributions to American literature in the twentieth century, and nowhere is this more evident than in The Price of the Ticket, a compendium of nearly fifty years of Baldwin's powerful nonfiction writing. With truth and insight, these personal, prophetic works speak to the heart of the experience of race and identity in the United States. Here are the full texts of Notes of a Native Son, Nobody Knows My Name, The Fire Next Time, No Name in the Street, and The Devil Finds Work, along with dozens of other pieces, ranging from a 1948 review of Raintree Country to a magnificent introduction to this book that, as so many of Mr. Baldwin's works do, combines his intensely private experience with the deepest examination of social interaction between the races. In a way, The Price of the Ticket is an intellectual history of the twentieth-century American experience; in another, it is autobiography of the highest order.",1985-09-15
Black Women in the Fiction of James Baldwin,Trudier Harris,NA,1987
Baldwin's Harlem,Herb Boyd,"Baldwin's Harlem is an intimate portrait of the life and genius of one of our most brilliant literary minds: James Baldwin. Perhaps no other writer is as synonymous with Harlem as James Baldwin (1924-1987). The events there that shaped his youth greatly influenced Baldwin's work, much of which focused on his experiences as a black man in white America. Go Tell It on the Mountain, The Fire Next Time, Notes of a Native Son, and Giovanni's Room are just a few of his classic fiction and nonfiction books that remain an essential part of the American canon. In Baldwin's Harlem, award-winning journalist Herb Boyd combines impeccable biographical research with astute literary criticism, and reveals to readers Baldwin's association with Harlem on both metaphorical and realistic levels. For example, Boyd describes Baldwin's relationship with Harlem Renaissance poet laureate Countee Cullen, who taught Baldwin French in the ninth grade. Packed with telling anecdotes, Baldwin's Harlem illuminates the writer's diverse views and impressions of the community that would remain a consistent presence in virtually all of his writing. Baldwin's Harlem provides an intelligent and enlightening look at one of America's most important literary enclaves.",2008-01-08
James Baldwin,Deborah Cannarella,"Introduction to the life and accomplishments of famed African-American writer and essayist, James Baldwin.",2003-08
A Study Guide to James Baldwin 's Sonny's Blues,"Gale, Cengage Learning","A Study Guide to James Baldwin 's Sonny's Blues, excerpted from Gale's acclaimed Short Stories for Students series. This concise study guide includes plot summary; character analysis; author biography; study questions; historical context; suggestions for further reading; and much more. For any literature project, trust Short Stories for Students for all of your research needs.",2015-09-15
James Baldwin,Deborah Cannarella,"Introduction to the life and accomplishments of famed African-American writer and essayist, James Baldwin.",2003-08
A Study Guide to James Baldwin 's Sonny's Blues,"Gale, Cengage Learning","A Study Guide to James Baldwin 's Sonny's Blues, excerpted from Gale's acclaimed Short Stories for Students series. This concise study guide includes plot summary; character analysis; author biography; study questions; historical context; suggestions for further reading; and much more. For any literature project, trust Short Stories for Students for all of your research needs.",2015-09-15
A Tribute to James Baldwin,"James Baldwin,Jules Chametzky,University of Massachusetts at Amherst. Institute for Advanced Study in the Humanities",NA,1989
The Horse Fair,James Baldwin,"Chiron, formerly of ancient Greece and now in the court of Morgan the Fay, tells Phillip about the history of the horse.",1904
The Fire Is upon Us,Nicholas Buccola,"How the clash between the civil rights firebrand and the father of modern conservatism continues to illuminate America's racial divide On February 18, 1965, an overflowing crowd packed the Cambridge Union in Cambridge, England, to witness a historic televised debate between James Baldwin, the leading literary voice of the civil rights movement, and William F. Buckley Jr., a fierce critic of the movement and America's most influential conservative intellectual. The topic was ""the American dream is at the expense of the American Negro,"" and no one who has seen the debate can soon forget it. Nicholas Buccola's The Fire Is upon Us is the first book to tell the full story of the event, the radically different paths that led Baldwin and Buckley to it, the controversies that followed, and how the debate and the decades-long clash between the men continues to illuminate America's racial divide today. Born in New York City only fifteen months apart, the Harlem-raised Baldwin and the privileged Buckley could not have been more different, but they both rose to the height of American intellectual life during the civil rights movement. By the time they met in Cambridge, Buckley was determined to sound the alarm about a man he considered an ""eloquent menace."" For his part, Baldwin viewed Buckley as a deluded reactionary whose popularity revealed the sickness of the American soul. The stage was set for an epic confrontation that pitted Baldwin's call for a moral revolution in race relations against Buckley's unabashed elitism and implicit commitment to white supremacy. A remarkable story of race and the American dream, The Fire Is upon Us reveals the deep roots and lasting legacy of a conflict that continues to haunt our politics.",2019-10-01
The Fire Next Time,James Baldwin,"The landmark work on race in America from James Baldwin, whose life and words are immortalized in the Oscar-nominated film I Am Not Your Negro 'We, the black and the white, deeply need each other here if we are really to become a nation' James Baldwin's impassioned plea to 'end the racial nightmare' in America was a bestseller when it appeared in 1963, galvanising a nation and giving voice to the emerging civil rights movement. Told in the form of two intensely personal 'letters', The Fire Next Time is at once a powerful evocation of Baldwin's early life in Harlem and an excoriating condemnation of the terrible legacy of racial injustice. 'Sermon, ultimatum, confession, deposition, testament, and chronicle ... all presented in searing, brilliant prose' The New York Times Book Review 'Baldwin writes with great passion ... it reeks of truth, as the ghettoes of New York and London, Chicago and Manchester reek of our hypocrisy' Sunday Times 'The great poet-prophet of the civil rights movement ... his seminal work' Guardian",1990-01-25
